stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
47700,47700,47700,47700,270245
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47850,47850,0
47850,47850,47900,47750,61317
47850,47800,47900,47800,45731
47850,47900,47900,47800,50991
47850,47900,47950,47850,42417
47900,48000,48000,47850,25555
48000,47950,48000,47900,28881
47950,47850,47950,47850,60338
47900,47900,47950,47850,22548
47900,48000,48000,47850,41560
47950,47950,48100,47900,46508
47900,47900,48000,47850,42314
47900,47950,48000,47850,16512
47950,48000,48050,47800,44566
48000,48050,48050,47900,43568
48050,47800,48050,47800,66802
47850,47800,47850,47750,16734
47800,47700,47850,47550,85078
47650,47650,47750,47550,64110
47700,47900,47900,47650,35024
47850,47750,48050,47700,53882
47750,47900,47950,47700,52792
47900,48000,48050,47900,32312
48000,48000,48100,47950,41805
48000,48000,48050,47950,31763
48000,47950,48050,47850,32619
47900,47850,47950,47850,18811
47850,47800,47900,47700,33382
47750,47750,47850,47700,23615
47800,48050,48100,47700,55155
48050,47800,48100,47800,35000
47800,47775,48000,47750,46567
47775,47850,47900,47750,14356
47850,47750,47950,47750,30405
47750,47950,48000,47700,33612
47950,47850,47950,47700,56957
47800,47800,47850,47600,100488
47850,47850,47900,47800,29244
47850,47850,47900,47750,33300
47900,47850,47950,47850,34120
47850,47975,48000,47700,99216
47950,48200,48200,47850,105481
48200,48250,48250,48150,15757
48200,48300,48300,48150,22026
48300,48250,48350,48150,29028
48250,48300,48300,48200,13366
48250,48300,48350,48200,16267
48300,48400,48400,48200,21350
48400,48250,48450,48200,28936
48250,48250,48300,48200,14483
48250,48250,48350,48200,22206
48250,48400,48500,48250,81260
48400,48450,48450,48350,14959
48450,48400,48450,48350,13888
48400,48450,48450,48350,21423
48400,48350,48450,48300,25061
48350,48250,48400,48250,26253
48250,48250,48300,48200,14581
48200,48250,48300,48200,14528
48250,48350,48350,48200,12873
48350,48200,48350,48150,20660
48175,48250,48350,48150,31878
48250,48350,48350,48200,19744
48300,48400,48400,48200,39702
48350,48600,48600,48350,33961
48600,48400,48650,48350,66593
48400,48400,48450,48300,14001
48400,48450,48500,48250,25505
48450,48175,48500,48150,42023
48175,48250,48300,48175,17241
48300,48200,48300,48200,14973
48250,48400,48400,48200,54576
48400,48300,48400,48300,21313
48350,48200,48350,48200,21509
48200,48375,48400,48200,21049
48350,48450,48450,48350,16460
48450,48450,48500,48400,27502
48450,48300,48500,48300,30313
48300,48250,48400,48100,23183
48250,48200,48400,48200,34726
48250,48200,48250,48050,32042
48200,48100,48300,48050,42462
48150,48400,48500,48100,52543
48350,48450,48500,48150,71289
48450,48550,48600,48400,25726
48550,48700,48700,48450,31107
48650,48700,48700,48600,29965
48750,48500,48750,48500,63425
48500,48600,48600,48450,30135
48550,48400,48650,48350,26879
48400,48700,48700,48350,67667
48650,48600,48700,48550,22678
48600,48550,48650,48500,33672
48500,48500,48800,48450,146067
48500,48400,48500,48350,35243
48400,48400,48450,48225,26985
48400,48250,48550,48200,44999
48300,48400,48500,48250,43733
48350,48500,48600,48300,89865
48550,48400,48550,48300,50062
48450,48350,48600,48300,181951
48350,48250,48350,48200,37951
48300,48100,48300,48100,30067
48150,48200,48250,48100,30688
48150,48300,48300,48100,33566
48300,48150,48300,47950,65427
48100,48350,48350,48100,62875
48350,48250,48350,48200,56966
48200,48200,48250,48100,42235
48200,48250,48250,48050,57487
48250,48000,48250,47950,61999
47950,47850,48000,47800,36533
47850,47950,47950,47800,20981
47950,47950,48000,47900,27375
48000,47800,48000,47800,29967
47800,48000,48000,47800,57820
47950,47850,48000,47800,45863
47850,47750,47900,47700,51697
47750,47800,47850,47750,44955
47750,47650,47850,47650,62705
47650,47550,47700,47550,26884
47600,47575,47700,47500,59078
47600,47300,47600,47250,48288
47250,47200,47300,47050,56041
47200,47150,47250,47050,68143
47100,47350,47350,47100,111511
47350,47650,47750,47250,59905
47600,47550,47750,47500,31628
47550,47350,47650,47300,48159
47350,47650,47700,47250,131757
47700,47600,47850,47600,37559
47600,47600,47650,47550,33168
47600,47700,47800,47600,53509
47600,47825,47825,47500,100041
47850,47950,47950,47800,43768
47900,48300,48350,47850,44609
48350,47750,48500,47750,146879
47800,47850,47900,47750,26421
47900,47950,48100,47850,58008
47950,47750,48000,47750,49916
47775,47450,47800,47400,104240
47500,47750,47850,47450,98787
47750,47950,47950,47600,132901
47900,48150,48200,47900,41382
48150,48300,48400,48150,48277
48300,48200,48350,48150,29201
48200,48400,48450,48150,89160
48400,48250,48400,48200,68182
48250,47700,48300,47700,155835
47750,47975,48000,47700,77432
47950,47950,48000,47900,51049
47950,47750,48100,47750,119398
47750,48100,48150,47700,221224
48100,48400,48450,48100,63261
48450,48450,48650,48400,70555
48500,48250,48600,48150,125614
48250,48450,48450,48150,152322
48400,48550,48600,48400,73578
48550,48600,48650,48550,27991
48650,48700,48700,48600,38657
48700,48700,48700,48600,31276
48700,48600,48850,48550,60545
48600,48750,48800,48500,105341
48800,48950,49000,48750,68690
48950,48750,48950,48750,25413
48800,49000,49000,48700,130380
49000,48900,49000,48850,48983
48900,49100,49100,48800,127439
49050,49500,49550,49000,133358
49500,49450,49650,49400,201564
49450,49350,49450,49250,65121
49300,49300,49350,49250,29703
49300,49200,49350,49150,36526
49200,49250,49350,49150,28809
49250,49350,49400,49200,46865
49400,49400,49400,49250,41137
49400,49200,49400,49150,56097
49200,49250,49300,49150,38458
