stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
345,345,345,345,314027
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,350,350,350,0
350,349,350,348,74797
349,349,349,348,61790
349,351,352,348,102749
351,350,352,349,141466
350,348,351,347,147804
347,344,348,344,125695
343,343,343,342,7555
343,342,343,342,19427
342,342,343,341,21827
342,343,343,341,31189
342,344,344,342,65815
344,344,344,342,45653
344,347,347,344,62013
347,346,347,346,66270
346,345,346,344,68579
345,344,346,342,105423
342,336,344,336,231962
336,339,339,336,40614
339,339,339,337,31063
339,341,342,338,91991
342,341,342,341,25991
342,344,346,342,95696
345,342,345,342,102777
341,338,341,338,66630
338,338,338,336,2360
335,337,337,335,5992
335,336,336,335,37529
336,338,338,336,12144
338,338,338,337,6505
338,336,338,335,20137
336,336,336,335,6199
336,337,337,336,14181
337,336,337,335,13067
336,335,336,334,21758
335,335,335,334,22298
335,334,335,333,7124
334,333,335,332,94140
333,334,334,333,66385
334,336,336,334,18948
335,335,337,335,12148
336,337,338,336,13080
336,336,338,334,49898
335,334,335,333,117261
334,331,335,331,87198
331,331,333,328,108350
331,333,333,330,135767
333,331,333,330,293959
334,334,334,334,0
334,334,334,334,0
334,336,336,334,137411
336,339,339,336,42371
338,340,341,338,30682
340,340,342,339,71642
338,337,342,337,108569
336,337,337,336,25209
337,337,338,336,37298
337,338,338,336,32291
336,337,338,336,83086
337,339,339,336,120853
339,342,343,338,349874
343,344,344,342,127938
344,343,344,342,117979
343,343,344,343,9697
343,345,345,343,118169
345,342,345,342,57106
343,343,344,343,49694
344,344,345,343,98275
344,344,345,344,10512
344,344,344,344,4393
344,346,348,344,17011
346,346,348,345,1518
346,346,346,345,27145
346,346,347,346,758
346,345,346,343,47528
344,346,347,344,48704
345,346,347,345,24922
347,348,348,347,30884
346,347,349,346,20233
347,348,349,346,38147
348,349,349,347,20576
349,348,350,345,87634
