stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
4830,4830,4830,4830,536802
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4860,4860,4860,0
4860,4847,4860,4835,122656
4847,4845,4850,4840,56458
4840,4842,4845,4840,15291
4845,4835,4845,4830,43644
4835,4832,4840,4832,26914
4835,4825,4835,4820,72933
4825,4822,4825,4820,15173
4820,4825,4830,4820,34683
4825,4825,4830,4820,26740
4825,4825,4830,4820,23090
4825,4825,4835,4820,16592
4830,4825,4830,4820,24251
4830,4825,4830,4820,10602
4825,4825,4830,4815,19786
4825,4830,4835,4820,24287
4827,4820,4830,4805,38945
4815,4820,4820,4805,21748
4815,4805,4820,4800,52712
4805,4810,4810,4800,35997
4810,4815,4820,4805,78522
4815,4817,4820,4815,12836
4820,4815,4820,4815,8184
4820,4820,4830,4815,32332
4815,4825,4830,4815,24341
4825,4820,4825,4810,125819
4815,4825,4830,4815,52453
4825,4835,4835,4820,46237
4835,4835,4840,4830,26585
4835,4840,4840,4830,19526
4840,4830,4840,4830,11939
4840,4835,4840,4830,14964
4840,4835,4840,4830,39280
4835,4840,4840,4835,13306
4835,4837,4840,4835,24672
4840,4845,4845,4835,20655
4840,4840,4845,4835,10575
4840,4840,4845,4835,11377
4840,4835,4850,4830,32248
4835,4835,4840,4830,26087
4835,4835,4840,4835,11862
4840,4835,4840,4830,10575
4835,4835,4845,4830,39873
4835,4845,4850,4835,15946
4835,4840,4850,4835,97863
4840,4850,4855,4840,46849
4850,4855,4860,4845,22997
4855,4855,4860,4845,64684
4850,4855,4865,4850,49657
4855,4865,4865,4850,27209
4865,4865,4875,4855,45180
4865,4865,4875,4860,22962
4870,4865,4880,4860,40169
4870,4870,4875,4870,19981
4870,4875,4875,4870,6132
4875,4880,4880,4870,10297
4880,4880,4885,4875,27107
4885,4880,4885,4875,22702
4875,4875,4880,4870,6331
4875,4870,4875,4865,13487
4870,4860,4870,4855,17835
4860,4865,4870,4855,23415
4860,4860,4865,4850,62323
4870,4870,4880,4865,20225
4865,4865,4880,4860,25549
4870,4885,4890,4865,36755
4885,4895,4900,4885,9441
4900,4895,4900,4890,31625
4895,4890,4895,4865,37967
4890,4890,4895,4885,15219
4890,4905,4910,4890,14804
4905,4887,4910,4885,27262
4885,4910,4915,4885,60311
4910,4915,4915,4910,14270
4915,4905,4920,4905,64653
4905,4910,4910,4900,26887
4910,4910,4915,4905,17700
4910,4915,4920,4910,19914
4915,4910,4920,4907,40774
4910,4910,4910,4905,25685
4905,4910,4910,4905,13097
4910,4912,4915,4905,14701
4915,4915,4915,4900,41567
4910,4915,4920,4907,35710
4915,4915,4925,4915,48033
4920,4905,4920,4895,36265
4905,4890,4905,4885,18348
4890,4890,4895,4885,21627
4890,4870,4890,4870,53265
4870,4875,4880,4870,9721
4875,4870,4875,4870,9014
4870,4875,4880,4870,46658
4875,4875,4875,4870,7413
4875,4870,4880,4870,15635
4870,4880,4885,4865,29221
4885,4875,4885,4875,13621
4875,4870,4875,4855,17086
4875,4850,4875,4835,90928
4845,4875,4875,4845,56179
4875,4870,4875,4865,38856
4865,4875,4880,4865,66787
4875,4890,4895,4870,64649
4890,4900,4905,4890,28802
4905,4910,4915,4905,28352
4915,4900,4920,4885,36563
4915,4930,4930,4865,115179
4925,4920,4930,4910,37472
4915,4930,4930,4915,36951
4927,4927,4935,4925,51934
4927,4915,4927,4910,70550
4915,4905,4915,4900,19180
4905,4905,4915,4895,112578
4900,4900,4905,4895,43945
4900,4905,4905,4895,41640
4905,4890,4905,4885,83122
4890,4885,4890,4880,24729
4885,4890,4895,4880,34361
4890,4870,4890,4870,54803
4875,4875,4875,4865,29485
4875,4875,4875,4865,29501
4875,4865,4880,4865,51584
4870,4865,4870,4860,8758
4865,4870,4875,4860,43448
4875,4875,4880,4870,37619
4875,4860,4875,4855,50495
4860,4850,4860,4850,21491
4855,4845,4855,4840,22775
4845,4840,4847,4835,26632
4840,4825,4845,4825,30787
4825,4820,4825,4815,19974
4820,4815,4820,4810,7871
4815,4810,4815,4810,12039
4810,4810,4810,4805,11019
4810,4800,4810,4800,42041
4800,4795,4800,4795,19505
4790,4790,4800,4790,6313
4790,4800,4800,4785,25143
4795,4800,4805,4790,13638
4805,4795,4805,4795,8442
4795,4790,4800,4790,52275
4790,4795,4795,4780,43695
4795,4790,4795,4785,9753
4790,4790,4795,4770,19339
4790,4785,4795,4775,30502
4785,4780,4790,4770,44940
4785,4785,4790,4780,25122
4790,4790,4795,4785,21583
4790,4795,4800,4790,20322
4800,4800,4800,4795,23340
4800,4795,4800,4790,12872
4795,4795,4795,4790,12117
4795,4790,4795,4785,34227
4790,4795,4795,4790,13488
4800,4810,4810,4795,23230
4805,4805,4810,4800,6628
4805,4790,4805,4790,54561
