stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
2200.0,2200.0,2200.0,2200.0,0
2105.0,2105.0,2105.0,2105.0,544110
1896.0,1896.0,1896.0,1896.0,45794
1900.0,1900.0,1900.0,1900.0,6998
1952.0,1952.0,1952.0,1952.0,186548
1952.0,1952.0,1952.0,1952.0,54152
1955.0,1955.0,1955.0,1955.0,0
1953.0,1953.0,1953.0,1953.0,69944
1929.0,1929.0,1929.0,1929.0,72403
1900.0,1900.0,1900.0,1900.0,128884
1902.0,1902.0,1902.0,1902.0,83318
1917.0,1917.0,1917.0,1917.0,12013
1945.0,1945.0,1945.0,1945.0,0
1945.0,1945.0,1945.0,1945.0,176222
1943.0,1943.0,1943.0,1943.0,13241
1934.0,1934.0,1934.0,1934.0,0
1910.0,1910.0,1910.0,1910.0,74815
1905.0,1905.0,1905.0,1905.0,46423
1900.0,1900.0,1900.0,1900.0,85366
1895.0,1895.0,1895.0,1895.0,10664
1884.0,1884.0,1884.0,1884.0,31974
1875.0,1875.0,1875.0,1875.0,46978
1871.0,1871.0,1871.0,1871.0,40801
1871.0,1871.0,1871.0,1871.0,88392
1914.0,1914.0,1914.0,1914.0,24644
1950.0,1950.0,1950.0,1950.0,164440
2065.0,2065.0,2065.0,2065.0,231846
2195.0,2195.0,2195.0,2195.0,173897
2350.0,2350.0,2350.0,2350.0,75799
2180.0,2180.0,2180.0,2180.0,552430
2220.0,2220.0,2220.0,2220.0,555
2265.0,2265.0,2265.0,2265.0,87729
2335.0,2335.0,2335.0,2335.0,141103
2360.0,2360.0,2360.0,2360.0,154738
2435.0,2435.0,2435.0,2435.0,630677
2435.0,2435.0,2435.0,2435.0,0
2590.0,3090.0,2585.0,3010.0,2187172
3005.0,3165.0,2870.0,3165.0,1825621
3165.0,3165.0,3165.0,3165.0,623291
3165.0,3165.0,2915.0,3090.0,1075279
3085.0,3165.0,3070.0,3165.0,524729
3165.0,3165.0,3115.0,3165.0,449673
3165.0,3165.0,3165.0,3165.0,16643
3165.0,3165.0,3165.0,3165.0,30614
3165.0,3165.0,3165.0,3165.0,9647
3165.0,3165.0,2930.0,3050.0,1109615
3055.0,3125.0,3035.0,3100.0,338699
3100.0,3120.0,3030.0,3060.0,305098
3045.0,3065.0,2980.0,3035.0,320934
3030.0,3040.0,3000.0,3010.0,141159
3005.0,3050.0,2980.0,3000.0,179290
