stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
17450.0,17450.0,17450.0,17450.0,0
17525.0,17525.0,17525.0,17525.0,0
17770.0,17770.0,17770.0,17770.0,1
17760.0,17760.0,17760.0,17760.0,5
17750.0,17750.0,17750.0,17750.0,0
17820.0,17820.0,17820.0,17820.0,19
17825.0,17825.0,17825.0,17825.0,0
17820.0,17820.0,17820.0,17820.0,8
17795.0,17795.0,17795.0,17795.0,241
17920.0,17990.0,17920.0,17990.0,255
17950.0,17950.0,17950.0,17950.0,89
17970.0,17975.0,17970.0,17975.0,3
17955.0,17955.0,17955.0,17955.0,1
17890.0,17890.0,17890.0,17890.0,499
17805.0,17805.0,17805.0,17805.0,5
17900.0,17900.0,17900.0,17900.0,2
17970.0,17970.0,17970.0,17970.0,0
17930.0,17930.0,17930.0,17930.0,71
17955.0,17955.0,17955.0,17955.0,0
17975.0,17975.0,17975.0,17975.0,12
18055.0,18055.0,17850.0,18000.0,35215
17855.0,17885.0,17855.0,17885.0,2
17995.0,17995.0,17995.0,17995.0,1
17950.0,17950.0,17950.0,17950.0,119
17995.0,17995.0,17995.0,17995.0,540
18225.0,18225.0,18225.0,18225.0,0
18190.0,18190.0,18190.0,18190.0,0
