stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
11650,11670,11710,11620,58655
11680,11680,11680,11680,0
11680,11680,11680,11680,0
11680,11680,11680,11680,0
11680,11680,11680,11680,0
11680,11680,11680,11680,0
11680,11680,11680,11680,0
11680,11680,11680,11680,0
11680,11710,11740,11610,112987
11710,11830,11840,11700,65136
11800,11880,11890,11800,31330
11880,11900,11900,11870,15431
11910,11920,11920,11880,9515
11920,11910,11920,11890,13344
11910,11860,11910,11850,17023
11860,11880,11890,11860,16459
11880,11900,11900,11880,17135
11900,11920,11920,11860,26993
11910,11920,11920,11910,9695
11920,11890,11920,11880,8800
11900,11930,11930,11890,17956
11920,11930,11930,11920,17689
11920,11910,11930,11880,36831
11910,11880,11910,11880,16659
11890,11890,11900,11870,8454
11890,11890,11890,11860,7994
11890,11870,11910,11860,12342
11870,11860,11890,11840,17654
11850,11870,11880,11840,31230
11870,11890,11900,11860,15077
11870,11910,11920,11870,19612
11910,11900,11930,11900,33982
11910,11930,11930,11890,36111
11930,11930,11930,11930,13676
11930,11930,11930,11920,38443
11930,11930,11930,11860,134436
11930,11910,11930,11910,270089
11920,11910,11920,11900,10047
11910,11900,11920,11890,17797
11900,11910,11910,11880,6078
11910,11910,11920,11890,6121
11910,11920,11920,11890,24568
11915,11890,11920,11880,23255
11890,11870,11890,11870,7865
11880,11900,11900,11870,7211
11900,11850,11900,11830,9329
11840,11880,11900,11830,23980
11880,11890,11890,11870,10732
11900,11910,11910,11880,11384
11910,11880,11910,11880,10583
11880,11880,11900,11860,16839
11870,11840,11880,11830,14230
11840,11825,11860,11810,27221
11820,11870,11890,11820,29662
11870,11905,11910,11860,29476
11910,11910,11920,11900,14834
11910,11910,11910,11900,5949
11900,11910,11920,11900,9253
11900,11930,11930,11900,21460
11930,11920,11930,11910,35730
11930,11910,11930,11870,113790
11910,11910,11920,11900,12040
11900,11930,11930,11900,26049
11930,11910,11930,11910,15718
11920,11900,11930,11900,45312
11910,11900,11910,11870,17936
11880,11920,11920,11880,24066
11900,11890,11910,11880,14149
11880,11900,11900,11860,23183
11890,11910,11910,11880,17909
11910,11900,11930,11880,167279
11900,11880,11900,11880,26250
11890,11860,11890,11850,33147
11860,11870,11870,11840,24325
11870,11850,11870,11840,18519
11850,11850,11850,11830,6565
11850,11850,11850,11840,7865
11840,11830,11850,11820,7312
11840,11830,11840,11830,6227
11830,11840,11840,11830,4029
