stck_oprc,stck_hgpr,stck_lwpr,stck_prpr,cntg_vol
15310.0,15315.0,15145.0,15270.0,0
15260.0,15570.0,15260.0,15545.0,654438
15550.0,15765.0,15525.0,15755.0,572556
15735.0,15795.0,15640.0,15790.0,557519
15785.0,15860.0,15775.0,15820.0,426850
15820.0,15990.0,15810.0,15980.0,381502
15970.0,16070.0,15960.0,16035.0,519393
16040.0,16065.0,15915.0,15970.0,603453
15970.0,16140.0,15965.0,16100.0,630140
16110.0,16190.0,16010.0,16040.0,505753
16040.0,16115.0,15960.0,15990.0,390479
15995.0,16080.0,15945.0,16080.0,294539
16080.0,16130.0,16025.0,16080.0,271044
16080.0,16200.0,16080.0,16195.0,411373
16195.0,16235.0,16175.0,16205.0,347075
16195.0,16220.0,16145.0,16150.0,276031
16150.0,16200.0,16100.0,16185.0,156858
16195.0,16200.0,16070.0,16115.0,187991
16115.0,16160.0,16060.0,16065.0,121871
16065.0,16135.0,16005.0,16125.0,137414
16135.0,16170.0,16110.0,16155.0,124452
16155.0,16155.0,16075.0,16075.0,133722
16085.0,16160.0,16045.0,16160.0,121960
16150.0,16225.0,16150.0,16195.0,143334
16195.0,16230.0,16170.0,16220.0,141651
16205.0,16270.0,16205.0,16255.0,175154
16255.0,16290.0,16245.0,16280.0,147148
16280.0,16300.0,16255.0,16275.0,111860
16280.0,16305.0,16275.0,16300.0,105044
16295.0,16320.0,16255.0,16285.0,129768
16295.0,16305.0,16240.0,16250.0,58975
16255.0,16265.0,16200.0,16215.0,86231
16220.0,16240.0,16175.0,16225.0,64399
16225.0,16290.0,16205.0,16265.0,80371
16270.0,16270.0,16175.0,16185.0,70128
16180.0,16205.0,16150.0,16190.0,59928
16185.0,16200.0,16160.0,16190.0,48967
16195.0,16250.0,16190.0,16250.0,52932
16245.0,16255.0,16230.0,16235.0,38676
16235.0,16260.0,16225.0,16240.0,77225
16240.0,16255.0,16225.0,16230.0,35888
16235.0,16240.0,16190.0,16195.0,53661
16190.0,16190.0,16070.0,16080.0,93031
16075.0,16120.0,16060.0,16085.0,82426
16085.0,16150.0,16070.0,16095.0,75317
16100.0,16110.0,16030.0,16065.0,96398
16060.0,16140.0,16055.0,16115.0,91844
16120.0,16125.0,16045.0,16095.0,74133
16095.0,16115.0,16065.0,16075.0,48597
16072.0,16075.0,16020.0,16020.0,63140
16030.0,16055.0,16005.0,16030.0,57847
16025.0,16030.0,15955.0,16005.0,137658
16015.0,16130.0,16015.0,16130.0,109481
16125.0,16145.0,16110.0,16142.0,57414
16140.0,16160.0,16120.0,16130.0,114640
16130.0,16165.0,16110.0,16155.0,77384
16157.0,16175.0,16150.0,16175.0,80450
16175.0,16185.0,16155.0,16175.0,127771
16180.0,16185.0,16160.0,16175.0,41300
16170.0,16180.0,16155.0,16165.0,34675
16160.0,16180.0,16150.0,16170.0,35773
16165.0,16240.0,16155.0,16240.0,56547
16240.0,16245.0,16185.0,16220.0,87244
16220.0,16255.0,16215.0,16250.0,154460
16245.0,16290.0,16235.0,16275.0,78843
16275.0,16290.0,16265.0,16280.0,86548
16280.0,16310.0,16275.0,16300.0,108976
16310.0,16315.0,16275.0,16310.0,63132
16305.0,16320.0,16280.0,16285.0,120289
16285.0,16330.0,16265.0,16325.0,102450
16325.0,16340.0,16290.0,16320.0,129415
16320.0,16345.0,16310.0,16330.0,109616
16850.0,16855.0,16555.0,16775.0,1419944
16785.0,16830.0,16390.0,16390.0,922322
16410.0,16635.0,16400.0,16425.0,854858
16425.0,16640.0,16405.0,16625.0,444104
16625.0,16715.0,16615.0,16700.0,316537
16705.0,16720.0,16415.0,16420.0,462485
16430.0,16485.0,16270.0,16285.0,561775
16280.0,16455.0,16275.0,16440.0,309140
16445.0,16535.0,16425.0,16500.0,194941
16500.0,16540.0,16395.0,16410.0,224698
16410.0,16435.0,16360.0,16425.0,143102
16420.0,16470.0,16305.0,16315.0,165388
16310.0,16525.0,16305.0,16505.0,306006
16495.0,16510.0,16430.0,16440.0,82481
16440.0,16445.0,16305.0,16315.0,147523
16310.0,16390.0,16295.0,16370.0,141789
16370.0,16370.0,16305.0,16325.0,110634
16320.0,16395.0,16305.0,16305.0,144209
16310.0,16320.0,16240.0,16260.0,119959
16265.0,16265.0,16185.0,16195.0,105905
16200.0,16210.0,16120.0,16130.0,116918
16125.0,16140.0,16080.0,16130.0,119328
16130.0,16160.0,16070.0,16135.0,203801
16130.0,16140.0,16065.0,16130.0,163936
16130.0,16190.0,16090.0,16105.0,114143
16105.0,16150.0,16100.0,16150.0,122224
16145.0,16250.0,16140.0,16250.0,114596
16250.0,16255.0,16225.0,16250.0,43314
16250.0,16300.0,16230.0,16300.0,87836
16300.0,16340.0,16285.0,16325.0,47133
16325.0,16350.0,16310.0,16350.0,70877
16350.0,16350.0,16290.0,16300.0,59226
16300.0,16310.0,16280.0,16300.0,38634
16305.0,16310.0,16275.0,16285.0,21323
16275.0,16285.0,16215.0,16240.0,38236
16250.0,16250.0,16220.0,16225.0,27323
16225.0,16270.0,16225.0,16265.0,20622
16265.0,16270.0,16220.0,16255.0,71193
16250.0,16260.0,16220.0,16260.0,29398
16260.0,16290.0,16250.0,16265.0,26744
16275.0,16295.0,16265.0,16275.0,27338
16275.0,16300.0,16270.0,16295.0,37977
16300.0,16325.0,16285.0,16295.0,28845
16300.0,16320.0,16300.0,16310.0,31345
16305.0,16325.0,16290.0,16325.0,22754
16325.0,16360.0,16320.0,16340.0,45636
16340.0,16385.0,16330.0,16375.0,50188
16375.0,16385.0,16335.0,16345.0,37094
16345.0,16355.0,16330.0,16345.0,30185
16345.0,16350.0,16285.0,16285.0,51026
16285.0,16340.0,16280.0,16335.0,48027
16330.0,16345.0,16315.0,16325.0,50655
16315.0,16365.0,16315.0,16355.0,45675
16365.0,16370.0,16290.0,16290.0,43247
16290.0,16325.0,16285.0,16285.0,19560
16285.0,16305.0,16270.0,16280.0,49668
16282.0,16285.0,16235.0,16235.0,38336
16235.0,16250.0,16150.0,16155.0,101937
16150.0,16155.0,16095.0,16100.0,71727
16100.0,16125.0,16035.0,16040.0,88358
