stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
26.0,26.0,26.0,26.0,263313
25.0,25.0,25.0,25.0,1810597
39.0,39.0,39.0,39.0,1031182
51.0,51.0,51.0,51.0,1019210
52.0,52.0,52.0,52.0,941936
52.0,52.0,52.0,52.0,191392
52.0,52.0,52.0,52.0,381562
57.0,57.0,57.0,57.0,834500
51.0,51.0,51.0,51.0,608030
55.0,55.0,55.0,55.0,0
55.0,55.0,55.0,55.0,2458008
61.0,61.0,61.0,61.0,0
100.0,100.0,100.0,100.0,1500227
87.0,87.0,87.0,87.0,119711
87.0,87.0,87.0,87.0,2293225
130.0,130.0,130.0,130.0,1165180
132.0,132.0,132.0,132.0,2549281
106.0,106.0,106.0,106.0,1551122
95.0,95.0,95.0,95.0,617047
92.0,92.0,92.0,92.0,3214211
82.0,82.0,82.0,82.0,1153552
70.0,70.0,70.0,70.0,1235706
60.0,60.0,60.0,60.0,435859
50.0,50.0,50.0,50.0,679010
55.0,55.0,55.0,55.0,230144
55.0,55.0,55.0,55.0,209268
55.0,55.0,55.0,55.0,396770
56.0,56.0,56.0,56.0,620077
50.0,50.0,50.0,50.0,0
50.0,50.0,50.0,50.0,430877
47.0,47.0,47.0,47.0,514710
51.0,51.0,51.0,51.0,171667
52.0,52.0,52.0,52.0,343819
55.0,55.0,55.0,55.0,270961
52.0,52.0,52.0,52.0,753708
56.0,56.0,56.0,56.0,715228
73.0,73.0,73.0,73.0,0
72.0,72.0,72.0,72.0,447993
73.0,73.0,73.0,73.0,936780
72.0,72.0,72.0,72.0,1143005
88.0,88.0,88.0,88.0,892491
99.0,99.0,99.0,99.0,701786
91.0,91.0,91.0,91.0,1154126
90.0,90.0,90.0,90.0,423573
104.0,104.0,104.0,104.0,2903488
86.0,86.0,86.0,86.0,1882286
80.0,80.0,80.0,80.0,1207281
67.0,67.0,67.0,67.0,241497
62.0,62.0,62.0,62.0,50551
66.0,66.0,66.0,66.0,497991
62.0,62.0,62.0,62.0,159074
66.0,66.0,66.0,66.0,171152
66.0,66.0,66.0,66.0,779052
55.0,55.0,55.0,55.0,238923
56.0,56.0,56.0,56.0,426176
55.0,55.0,55.0,55.0,360721
52.0,52.0,52.0,52.0,343562
52.0,52.0,52.0,52.0,190018
58.0,58.0,58.0,58.0,504140
56.0,56.0,56.0,56.0,0
