stck_prpr,stck_oprc,stck_hgpr,stck_lwpr,cntg_vol
502,502,502,502,195904
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,502,502,502,0
502,504,505,502,45888
504,506,507,502,22661
506,503,506,502,33508
502,504,504,502,36499
503,504,504,502,9969
505,505,506,502,64642
505,505,506,505,10382
506,506,506,505,4594
505,506,506,505,50017
506,508,508,506,9250
508,508,509,507,38014
508,507,509,506,17907
506,509,509,506,45723
507,510,510,506,40949
509,508,509,506,26596
507,507,508,504,52552
507,509,509,507,16263
508,508,509,508,16717
508,508,510,507,3859
508,508,509,507,552
507,509,509,507,46273
508,510,511,508,37259
510,510,511,509,22075
510,509,510,509,5293
511,507,511,507,103200
507,507,508,506,9747
506,507,508,506,13821
507,507,507,506,11601
508,508,509,507,25711
507,506,507,503,42020
507,505,507,505,169
505,507,507,505,7716
508,507,508,507,11366
507,506,507,504,15546
505,504,506,503,22808
503,503,504,503,8013
503,502,504,502,22354
502,502,502,501,7054
502,502,504,502,14110
502,503,503,500,40940
503,501,504,501,34196
501,503,504,501,5072
504,503,504,502,64363
504,506,506,504,12389
505,505,506,503,9296
503,504,505,503,10524
504,503,505,503,17236
505,503,505,502,19550
503,505,505,502,56443
505,508,508,505,27148
508,508,508,507,24840
507,508,508,507,2189
508,508,508,507,23883
509,509,509,507,6766
509,508,509,507,15634
508,508,508,508,2775
507,508,509,506,6434
507,508,509,507,5231
508,507,509,504,24620
508,507,508,507,4982
508,508,508,506,18608
507,507,507,507,2270
506,506,506,505,50636
505,507,508,505,20522
507,508,508,507,4758
508,508,509,507,10274
508,505,509,505,5054
505,509,509,505,8037
508,510,511,507,128018
510,514,514,510,57522
514,510,514,509,137938
510,509,510,507,13266
508,509,511,506,43561
509,508,509,507,27544
508,504,508,504,30467
505,505,505,504,1774
505,505,505,504,1011
505,504,505,503,19989
504,505,505,504,7245
505,502,505,502,22184
502,503,503,502,6003
503,504,504,503,1906
504,504,504,502,11391
504,502,505,502,17690
502,501,506,501,21276
502,500,502,500,9441
501,501,501,499,16591
500,501,501,500,10022
501,504,505,500,27133
504,505,505,503,105509
505,504,506,503,47206
504,502,504,502,16835
501,503,503,501,32254
504,500,504,500,69854
501,498,502,498,31169
499,497,499,497,8178
500,496,500,496,11511
496,496,499,495,19749
496,496,498,494,18933
493,494,495,493,63252
495,493,496,493,46689
493,499,502,490,212491
500,498,500,498,17362
498,498,499,497,32155
497,498,499,497,20220
498,497,499,492,136718
497,498,500,496,141041
496,505,505,496,210073
505,509,510,504,139841
510,511,512,509,26290
511,512,513,509,58604
512,513,515,512,40831
515,513,515,511,62465
512,514,515,512,53797
514,520,520,513,269342
520,519,523,517,83021
519,517,519,517,42362
518,523,523,517,39728
523,522,523,520,53050
522,523,525,522,77976
522,517,524,517,84518
519,525,525,516,314407
524,523,526,522,280833
522,518,522,516,168056
518,515,518,515,16580
514,515,517,514,39075
516,519,519,515,70385
518,518,519,518,32328
519,519,519,517,77789
519,518,519,516,106765
518,519,519,514,225131
517,516,519,513,283502
516,512,516,512,127518
512,509,512,508,54125
509,509,510,508,8742
509,509,510,508,8086
509,508,510,507,61921
507,511,512,507,52912
512,511,513,511,11235
513,513,514,511,58204
513,513,513,509,85216
512,512,513,512,18911
512,514,514,511,37759
514,513,515,512,115281
513,513,515,512,118690
513,513,513,511,75253
513,511,514,511,39684
511,508,511,506,81692
508,507,508,505,12260
505,508,508,503,61231
508,506,508,506,21942
506,507,507,505,2968
505,504,507,502,33931
506,514,514,504,114201
514,506,514,505,139249
504,505,507,504,24532
505,507,510,504,176796
507,509,511,507,116131
508,508,510,507,70270
507,504,508,504,50843
505,505,506,505,6225
506,506,507,504,91331
506,508,509,505,102856
508,507,508,505,70807
507,506,508,504,41636
505,508,508,504,28944
508,498,508,498,81641
498,499,499,498,14181
498,496,498,495,26886
496,494,496,494,4981
494,496,497,494,34315
497,495,497,495,11517
495,496,496,494,9420
496,495,496,494,46982
496,495,496,494,5256
496,497,497,494,37694
497,499,499,496,19252
499,500,500,498,32313
500,501,502,498,42621
502,503,503,500,30599
503,500,506,500,40378
500,501,502,499,70429
501,501,503,501,7861
501,501,502,501,14304
501,501,502,500,22270
500,501,502,500,29648
501,507,509,500,161470
507,502,507,500,108349
501,503,503,501,70773
503,499,503,499,28527
501,500,502,499,51769
499,498,499,496,46285
498,502,502,496,183561
500,500,500,500,0
500,500,500,500,0
500,498,500,497,117781
498,495,499,494,36349
495,496,498,494,16996
496,497,499,495,49625
498,494,499,494,119892
494,493,495,493,42349
493,491,493,491,6982
491,490,491,489,11948
490,491,491,489,21363
490,489,491,489,22854
489,493,493,489,12144
493,493,494,491,7207
494,493,495,491,79550
494,495,496,493,38963
495,493,495,492,30156
492,493,493,492,24685
493,492,493,491,25022
491,492,492,491,23554
492,493,494,492,16791
492,494,494,492,34580
493,494,494,493,15937
494,490,495,489,129452
490,490,491,490,23775
490,490,490,489,13927
490,491,492,488,70327
491,490,491,488,90615
490,489,492,489,83412
490,486,490,486,77597
487,488,488,486,14651
488,483,488,481,81539
482,482,483,482,10592
482,484,484,482,38233
484,485,486,484,22006
485,483,485,483,11524
483,484,485,483,19691
484,486,487,484,26036
485,482,487,482,95901
483,484,484,482,44688
484,482,485,482,18416
485,483,485,482,35983
482,481,483,481,4628
483,483,485,481,86019
482,479,482,479,348785
479,478,479,477,21180
477,478,479,476,41005
478,474,479,473,162855
474,473,474,473,22910
474,473,474,473,95770
473,472,474,472,14473
474,474,474,472,71211
474,475,476,474,35838
475,477,477,475,16521
476,475,477,474,9614
476,474,476,473,15956
475,473,475,472,11332
473,473,473,472,3047
473,475,475,472,10376
474,474,475,473,16612
474,469,474,468,156111
469,469,469,469,5924
468,469,469,468,2879
469,467,469,467,66947
467,468,469,467,62871
467,469,469,467,16787
469,467,470,467,5149
469,469,469,468,18685
470,470,470,470,7890
470,470,470,468,8956
468,471,471,468,50555
471,471,471,471,5236
471,470,471,468,15665
470,471,471,468,18697
471,468,471,468,5419
468,472,472,468,31867
472,472,472,471,4659
471,472,472,471,11266
471,471,472,470,8730
471,470,471,470,3862
471,470,471,467,5417
470,469,472,465,48524
471,469,472,468,21578
469,471,472,468,25565
